Roll,Pitch,Yaw
-0.258889,-0.330968,180.005
-0.277013,-0.321602,180.015
-0.289926,-0.307605,180.002
-0.28848,-0.287383,180.014
-0.304303,-0.297353,180.003
-0.28471,-0.290256,180.013
-0.265104,-0.285079,180.024
-0.244991,-0.284754,180.014
-0.224187,-0.28492,180.005
-0.203357,-0.285521,179.996
-0.182456,-0.285887,179.987
-0.162003,-0.284944,179.977
-0.141535,-0.282408,179.967
-0.160902,-0.282863,179.978
-0.139972,-0.278368,179.988
-0.159158,-0.280235,179.98
-0.137994,-0.277628,179.991
-0.116985,-0.279246,179.983
-0.0966792,-0.281888,179.994
-0.113555,-0.271693,180.006
-0.096495,-0.281994,179.997
-0.110929,-0.26768,180.008
-0.0942414,-0.277939,180.02
-0.108773,-0.263089,180.031
-0.122139,-0.24741,180.043
-0.109815,-0.261946,180.034
-0.11973,-0.244166,180.025
-0.116246,-0.263022,180.037
-0.112556,-0.243205,180.028
-0.104843,-0.224817,180.04
-0.11471,-0.241105,180.03
-0.125445,-0.256894,180.02
-0.113526,-0.241357,180.031
-0.128846,-0.25406,180.022
-0.146057,-0.264021,180.033
-0.16308,-0.274179,180.045
-0.145934,-0.265695,180.034
-0.165066,-0.272046,180.045
-0.184482,-0.277803,180.035
-0.204633,-0.280588,180.045
-0.225106,-0.281372,180.035
-0.205705,-0.281476,180.025
-0.225945,-0.278963,180.014
-0.207079,-0.282503,180.004
-0.226526,-0.275275,179.994
-0.245447,-0.26674,179.984
-0.227046,-0.272587,179.994
-0.246733,-0.266027,179.984
-0.266191,-0.258704,179.975
-0.248253,-0.265498,179.984
-0.267644,-0.257611,179.994
-0.287612,-0.251678,180.004
-0.307666,-0.246461,180.014
-0.288199,-0.246546,180.024
-0.268731,-0.245974,180.034
-0.249292,-0.245364,180.024
-0.229759,-0.24316,180.034
-0.249995,-0.242063,180.044
-0.230558,-0.240107,180.034
-0.210995,-0.237215,180.044
-0.231279,-0.23708,180.054
-0.211753,-0.233282,180.043
-0.231786,-0.235465,180.053
-0.251313,-0.239851,180.043
-0.233,-0.232107,180.054
-0.251423,-0.235853,180.066
-0.267626,-0.236033,180.081
-0.262804,-0.239643,180.103
-0.267297,-0.245939,180.081
-0.278207,-0.249009,180.1
-0.292681,-0.250827,180.083
-0.275336,-0.252826,180.069
-0.256184,-0.254302,180.08
-0.236728,-0.253524,180.069
-0.255504,-0.258685,180.058
-0.236577,-0.253601,180.068
-0.217887,-0.247977,180.079
-0.199233,-0.243389,180.068
-0.218442,-0.248384,180.058
-0.237627,-0.254127,180.049
-0.219105,-0.248366,180.039
-0.238614,-0.253919,180.05
-0.258722,-0.25755,180.061
-0.239034,-0.25661,180.052
-0.259375,-0.255326,180.042
-0.239778,-0.256209,180.053
-0.260386,-0.257035,180.063
-0.280844,-0.259434,180.074
-0.301282,-0.259056,180.085
-0.321902,-0.25754,180.076
-0.302904,-0.261097,180.086
-0.289248,-0.273585,180.075
-0.286931,-0.291644,180.064
-0.292265,-0.309269,180.052
-0.285088,-0.29144,180.064
-0.275851,-0.274102,180.076
-0.267154,-0.257131,180.063
-0.257835,-0.240736,180.049
-0.249218,-0.22425,180.036
-0.256885,-0.240319,180.048
-0.261211,-0.257345,180.06
-0.262836,-0.238333,180.073
-0.2687,-0.219524,180.06
-0.264136,-0.237754,180.049
-0.260741,-0.256405,180.038
-0.258594,-0.235816,180.048
-0.248628,-0.218024,180.037
-0.232186,-0.206201,180.027
-0.251129,-0.211945,180.016
-0.230982,-0.210567,180.025
-0.250787,-0.207707,180.035
-0.270508,-0.20445,180.025
-0.290132,-0.199677,180.034
-0.270571,-0.203077,180.023
-0.290127,-0.199471,180.033
-0.309999,-0.198369,180.022
-0.28995,-0.196678,180.032
-0.269945,-0.194098,180.041
-0.28952,-0.196005,180.051
-0.30918,-0.198413,180.061
-0.328875,-0.200795,180.05
-0.348545,-0.202669,180.04
-0.368367,-0.204012,180.049
-0.387934,-0.206518,180.039
-0.367918,-0.202772,180.028
-0.347881,-0.198957,180.038
-0.367579,-0.20051,180.047
