time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1700006813999966700,63.010966796875,57.83170994929969,2.098479740002535,180,43.256808401310025,94.2417097967118,116.79978865914323,4.821343410445773,3.252565871944787,-79.90014602231417,0.27447034678731913
1700006814999966700,64.010966796875,57.75696954410523,1.6683126144242737,180,43.256820581255866,94.16696939151734,116.79978988348131,4.8442453576336995,3.2183573368774923,-79.90015075732047,0.11479884865530125
1700006815999966000,65.01096606445313,57.56910180673003,1.4236036749516692,180,43.25683054698521,93.97910165414214,116.79979401283754,4.785195288990069,3.3055170668166407,-79.90015092049701,0.07666235535708789
1700006816999966200,66.01096630859375,57.65253613702953,1.4007004377100079,180,43.256826803580175,94.06253598444164,123.27931539198013,4.773810279800817,3.3219380556020117,-79.90015299604386,0.039866708193952625
1700006817999966200,67.01096630859375,57.7567491857335,1.4995487604062667,180,43.25683044046607,94.1667490331456,123.27931786241044,4.770439390079588,3.326776977551384,-79.90014989019579,0.049417046357507315
1700006818999966200,68.01096630859375,57.104320453479886,1.978036162670213,180,43.25683181991088,93.514320300892,123.27931239928583,4.798583218755535,3.2860517533153066,-79.90015763597687,0.2599857188788697
1700006819999966200,69.01096630859375,57.25324174016714,1.7747291476679348,124.24216874542536,43.256831274979056,93.66324158757925,121.67375317768267,4.843066292436428,3.220131351335672,-79.90013590685577,0.6851065257907408
1700006820999965700,70.01096557617187,57.31207161210477,1.2779512126531996,107.24731742474086,43.256849770152826,93.72207145951688,64.74017751342058,4.841713105948298,3.2221656122051403,-79.90011891126669,0.5530005804503886
1700006821999965000,71.01096484375,57.41783350892365,1.3438386347431013,113.96517804820824,43.256863886866114,93.82783335633576,51.500003147347314,4.81028203335847,3.2689025363778503,-79.90011588824986,0.515349142450746
1700006822999965200,72.01096508789063,57.80598762631416,1.4873681692471736,180,43.25686721841117,94.21598747372627,50.54426796132587,4.80195783174967,3.281118409153629,-79.90011364092686,0.09748594712210192
1700006823999965200,73.01096508789063,57.868387010879815,1.5340859183802833,180,43.25687490866424,94.27838685829192,50.544268611065036,4.8075898935297525,3.272860591045609,-79.90011522162797,0.08861442186062381
1700006824999964200,74.01096411132812,58.116527209058404,1.8097775470131237,180,43.25688137007147,94.52652705647051,50.5442655150322,4.801748564925922,3.2814246528026034,-79.9001229955149,0.3644497830194339
1700006825999965200,75.01096508789063,58.28147807251662,1.644845831109275,123.10839334029346,43.256886247372805,94.69147791992873,68.29956858433327,4.808415738381817,3.271647156964039,-79.90010428433868,0.6065012058716357
1700006826999964700,76.01096459960938,58.48704243544489,1.8495124002069316,180,43.25688353745142,94.897042282857,77.88071149680098,4.796073220036548,3.2897140758487042,-79.90010634927337,0.2376498245955695
1700006827999963600,77.01096362304688,58.67976586613804,1.9376310640030214,180,43.25687473998229,95.08976571355015,77.88070860440868,4.8028799945616285,3.279768405029313,-79.90010681759203,0.2662881239698063
1700006828999964000,78.0109638671875,58.8226529546082,2.0139434825130027,180,43.25687456317531,95.23265280202031,77.88071382733362,4.80243956323082,3.280413277973404,-79.9000985647052,0.28183922478698925
1700006829999964000,79.0109638671875,59.001570431515574,1.8895816194618982,180,43.25687561562483,95.41157027892768,77.88071500481253,4.79506739029463,3.2911799943670483,-79.90009720784796,0.3963534901369698
1700006830999963600,80.01096362304688,59.03647438529879,1.6587373846477116,180,43.256874204540615,95.4464742327109,77.880718107631,4.7865961266813235,3.303488240152852,-79.90009170272668,0.15470089444383608
1700006831999963600,81.01096362304688,59.05503084696829,1.4741885880665317,180,43.25687456333052,95.4650306943804,77.88071882267094,4.783331241427367,3.30821390898076,-79.90009074948767,0.09271000978720437
1700006832999963400,82.01096337890625,59.01276332885027,1.8614870462124218,180,43.25687084418655,95.42276317626238,86.67722991016495,4.772626993012663,3.3236378590868987,-79.90008122988176,0.37971190873431476
1700006833999963000,83.010962890625,59.08105597831309,1.9618370895711996,180,43.25686895599678,95.4910558257252,86.67722349220404,4.762849418921669,3.3376342587926495,-79.90009087989824,0.22830777848492226
1700006834999963400,84.01096337890625,59.61095961369574,1.8499426550681155,180,43.256858126165206,96.02095946110785,86.67722238802955,4.759937842782347,3.341785266236802,-79.90009454249727,0.1952398374405338
1700006835999963000,85.010962890625,59.50172537751496,1.708970540414754,180,43.25684995066278,95.91172522492707,86.67721756308104,4.755368857578557,3.348283748603282,-79.90010308503736,0.15835323784359573
1700006836999963000,86.010962890625,59.54741152655333,1.549934555528772,180,43.2568482692785,95.95741137396544,86.67721790899951,4.7514507565436785,3.353841490131778,-79.90010290480556,0.10838738845789254
1700006837999962400,87.01096240234375,59.589831366203725,1.9932560941050381,180,43.256843980523634,95.99983121361583,86.67722341467228,4.749867870872082,3.3560828717488422,-79.90009575273403,0.2307919433442671
1700006838999963000,88.010962890625,59.61191034223884,1.7017793081487316,180,43.25684135953693,96.02191018965095,86.67722005071586,4.74618669392501,3.3612867921672533,-79.90010112171002,0.1657995039867195
1700006839999963000,89.010962890625,59.997104389593005,1.9943671875347742,180,43.2568395190331,96.40710423700511,86.67722335681925,4.749853961779703,3.356102557216406,-79.90009668688835,0.3402596463774599
1700006840999962600,90.01096264648437,60.25672376528382,1.968775862458183,180,43.25684079269411,96.66672361269593,86.67722736047021,4.763795596397142,3.336283643297738,-79.90009064875876,0.31509261483358114
1700006841999962400,91.01096240234375,60.31033904943615,1.9689597696339676,180,43.25684069403837,96.72033889684826,86.67722513204303,4.7552626798207696,3.348434541497359,-79.90009389325122,0.22699426321020513
1700006842999965000,92.01096484375,59.66796919517219,1.4065799411433333,150.71919657858402,43.25684525399368,96.0779690425843,66.24270410386977,4.761809764391317,3.339117368487719,-79.90009370199432,0.4442967331370112
1700006843999961900,93.0109619140625,60.01196473184973,1.6367450753730421,180,43.256844928147515,96.42196457926184,58.18972086591548,4.76675923829102,3.3320479283701863,-79.90010165798783,0.32154203468623616
1700006844999962000,94.01096215820313,59.62708176672459,1.4509474423305389,180,43.25684978636547,96.0370816141367,58.189717371320974,4.782179732881136,3.309878250813727,-79.90010933866792,0.09025483771662123
1700006845999962400,95.01096240234375,59.35867387242615,1.399577310118492,103.93820236984507,43.256850665508885,95.76867371983826,99.11988284157435,4.770578787730669,3.3265770790473237,-79.90009824056436,0.5326613681750464
1700006846999961300,96.01096142578125,59.79314439557493,1.2272336532338668,70.13264270508176,43.256854129934396,96.20314424298704,73.01815245037113,4.755331799588228,3.3483363792507204,-79.90009362441438,0.6451924116448499
1700006847999961300,97.01096142578125,59.4918679157272,1.5497397072813786,180,43.25685626195816,95.90186776313931,76.15998038431435,4.753187994445842,3.351378958316226,-79.9000969937298,0.2526113984019454
1700006848999961900,98.0109619140625,59.444968270137906,1.5414935658674476,180,43.25685991778281,95.85496811755002,76.15997417319612,4.763945451995637,3.336069658025581,-79.90010282238487,0.14445952659288724
1700006849999961900,99.0109619140625,59.29225173778832,1.6156036065155397,180,43.2568621185876,95.70225158520043,80.79955296667903,4.767891107101036,3.3304281141642584,-79.90009910769717,0.3628205416113011
